fecha,descripcion,monto
2026-01-05,Restaurante El Corral,45000
2026-01-07,Uber viaje centro,18000
2026-01-10,Netflix suscripcion,17900
2026-01-12,Drogueria La Rebaja,32000
2026-01-15,Supermercado Exito,156000
2026-01-18,Claro internet,89000
2026-01-20,Uber viaje norte,22000
2026-01-22,Restaurante Crepes,67000
2026-02-01,Spotify premium,10900
2026-02-05,Gimnasio mensualidad,120000
2026-02-08,Supermercado Carulla,98000
2026-02-10,Gasolina,85000
2026-02-14,Cine Colombia,28000
2026-02-18,Farmacia Cruz Verde,41000
2026-02-20,Restaurante Tacos,38000
